,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11118,1167908037914469876,https://www.airbnb.com/rooms/1167908037914469876,20240911015516,2024-09-11,previous scrape,JV6-01 Alojamiento moderno con ubicación céntrica,Enjoy a luxury experience at this centrally-located home.,,https://a0.muscache.com/pictures/hosting/Hosting-1167908037914469876/original/eb9787c2-0fad-4fab-956c-aab7fe0c2876.jpeg,567327895,https://www.airbnb.com/users/show/567327895,Santiago,2024-03-16,"Madrid, Spain","¡Bienvenidos a Match4Room! Ofrecemos habitaciones de lujo y espacios de co-living en el corazón de Madrid, diseñados para proporcionar comodidad, estilo y una experiencia auténtica. Disfruta de instalaciones modernas, servicios de alta calidad y una comunidad vibrante. Tu hogar perfecto en Madrid te espera!",within a few hours,100%,73%,f,https://a0.muscache.com/im/pictures/user/User-567327895/original/525c07e7-cd78-4324-aecf-d4a86dc04dd2.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-567327895/original/525c07e7-cd78-4324-aecf-d4a86dc04dd2.jpeg?aki_policy=profile_x_medium,,97.0,100.0,"['email', 'phone']",t,t,,Universidad,Centro,40.4230730177234,-3.7052631615032423,Private room in rental unit,Private room,1,,2 shared baths,1.0,,"[""Heating"", ""Wifi"", ""Cooking basics"", ""Fire extinguisher"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Dedicated workspace""]",,7,365,7,7,365,365,7.0,365.0,,t,0,0,0,6,2024-09-11,1,1,0,2024-07-04,2024-07-04,4.0,4.0,2.0,5.0,5.0,5.0,3.0,,f,95,9,86,0,0.43
14286,1062274364957452585,https://www.airbnb.com/rooms/1062274364957452585,20240911015516,2024-09-11,city scrape,Moderno y céntrico departamento,"This place is strategically located as it has the Alvarado metro station less than a three-minute walk away as well as bus stops. The Santiago Bernabeu stadium, Corte Inglés and Maravillas Market are a 15-20 minute walk away. It's just the perfect stay to make your experience welcoming and rewarding.",,https://a0.muscache.com/pictures/miso/Hosting-1062274364957452585/original/33cdd547-d4b8-42cc-bd18-238488e3835d.jpeg,413692864,https://www.airbnb.com/users/show/413692864,Francisco,2021-07-18,,,,,100%,f,https://a0.muscache.com/im/pictures/user/User-413692864/original/c53b4ef4-132c-4f45-9e57-81e25b0b7d21.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-413692864/original/c53b4ef4-132c-4f45-9e57-81e25b0b7d21.jpeg?aki_policy=profile_x_medium,,1.0,2.0,['phone'],t,t,,Bellas Vistas,Tetuán,40.45152,-3.70407,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Dryer"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Pets allowed"", ""Wifi"", ""TV"", ""Washer"", ""First aid kit"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Coffee maker"", ""Dedicated workspace""]",$59.00,2,365,2,2,365,365,2.0,365.0,,t,2,4,9,101,2024-09-11,1,1,0,2024-01-14,2024-01-14,4.0,4.0,2.0,5.0,4.0,5.0,2.0,,t,1,1,0,0,0.12
14357,1153721621110239940,https://www.airbnb.com/rooms/1153721621110239940,20240911015516,2024-09-11,previous scrape,Marqués del Riscal-2-9,Beautiful Room in shared apartment (9 bedrooms + 2 full shared bathrooms) with young professionals from 18 to 45 years old located in an unbeatable area of Madrid.,,https://a0.muscache.com/pictures/miso/Hosting-1153721621110239940/original/03b7f4f3-6065-4ed0-afd1-12e5c73a06d9.jpeg,576464572,https://www.airbnb.com/users/show/576464572,Maria Mercedes,2024-05-08,"Madrid, Spain","Contamos con más de 500 habitaciones en toda la zona céntrica de la ciudad, nos dedicamos a alojar a jóvenes estudiantes o profesionales de menos de 35 años por periodos cortos o largos de tiempo.

Las casas están totalmente equipadas al igual que las habitaciones con mesa de escritorio, silla, armario, cama, colchón, lampara de noche  y algunos extras para mejorar la comodidad.",within a few hours,89%,72%,f,https://a0.muscache.com/im/pictures/user/User-576464572/original/2bbe79a2-f241-4d9d-bb4a-e30045a54c97.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-576464572/original/2bbe79a2-f241-4d9d-bb4a-e30045a54c97.jpeg?aki_policy=profile_x_medium,,186.0,191.0,['phone'],t,f,,Almagro,Chamberí,40.43137447563875,-3.6913740062639886,Private room in rental unit,Private room,1,,2 baths,1.0,,"[""Heating"", ""Kitchen"", ""Wifi"", ""Hangers"", ""TV"", ""Cooking basics"", ""Washer"", ""Essentials"", ""Host greets you"", ""Hot water"", ""Clothing storage"", ""Bed linens"", ""Dedicated workspace""]",,15,365,15,15,365,365,15.0,365.0,,t,0,4,34,124,2024-09-11,1,1,0,2024-07-13,2024-07-13,4.0,4.0,1.0,5.0,5.0,5.0,4.0,,f,176,0,175,1,0.49
14601,913575155214626073,https://www.airbnb.com/rooms/913575155214626073,20240911015516,2024-09-11,city scrape,Piso de 2 dorm en Chopera,"SPACIOUS OUTDOOR apartment and very BRIGHT.<br /><br />It has 2 SPACIOUS AND FULLY FURNISHED BEDROOMS.<br /><br />LIVING ROOM with lots of light, sofa, TV, very comfortable.<br /><br />It has 2 BEDROOMS, the main one with double bed, closet, window.<br /><br />The second bedroom is also very spacious, it has 2 single beds.<br /><br />Fully equipped kitchen.<br /><br />Area with shops, parks and many transportation options.<br /><br />Rented with a seasonal contract",,https://a0.muscache.com/pictures/miso/Hosting-913575155214626073/original/5a010912-7428-4806-a6ef-0d2539137701.jpeg,518713670,https://www.airbnb.com/users/show/518713670,Bemadrid,2023-06-07,,Somos BEMADRID! Tu solución en alquiler temporal en Madrid por meses. Descubre la comodidad y flexibilidad de nuestras opciones de alquiler. Encuentra tu hogar ideal en la vibrante ciudad de Madrid con BEMADRID. Ofrecemos una amplia selección de alojamientos temporales. ¡Aprovecha tu estancia al máximo con nosotros! Visita nuestra página y reserva tu alojamiento temporal en Madrid hoy mismo,within a few hours,94%,55%,f,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e179fb84-6c8d-4553-bf35-a936c93df22d.jpg?aki_policy=profile_x_medium,,256.0,279.0,"['email', 'phone']",t,t,,Chopera,Arganzuela,40.39820928531302,-3.6986627206500895,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Air conditioning"", ""Heating"", ""Wifi"", ""TV"", ""Washer"", ""Kitchen""]",$73.00,90,365,90,90,365,365,90.0,365.0,,t,11,41,71,346,2024-09-11,1,0,0,2023-08-16,2023-08-16,4.0,4.0,2.0,4.0,2.0,5.0,5.0,,f,254,234,19,1,0.08
15326,853493860878471851,https://www.airbnb.com/rooms/853493860878471851,20240911015516,2024-09-11,previous scrape,Acogedor Estudio 2 Adultos,"Studio with bathroom and private kitchen, cold/hot air conditioning, WiFi and elevator. Double bed, dining table and 32""TV. Window to inner courtyard.<br />Kitchen with microwave, coffee maker, refrigerator, toaster and kitchen utensils.<br />Hair dryer, linens and towels. Out of health, I don 'T include salt, sugar, or cooking spices. <br />Privileged area, with bus and metro stations very close by. To get out there are 3 other studios and a common hallway.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODUzNDkzODYwODc4NDcxODUx/original/76ac5d51-0316-407c-975b-f52d17952088.png,232520062,https://www.airbnb.com/users/show/232520062,Alexander,2018-12-26,"Madrid, Spain",,within an hour,99%,99%,f,https://a0.muscache.com/im/pictures/user/f3ae0895-352d-409b-92de-094dd0073b37.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f3ae0895-352d-409b-92de-094dd0073b37.jpg?aki_policy=profile_x_medium,Arapiles,34.0,43.0,"['email', 'phone']",t,t,,Universidad,Centro,40.428659,-3.7093547,Entire rental unit,Entire home/apt,1,,1 bath,1.0,,"[""Air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Freezer"", ""Hangers"", ""TV"", ""Washer"", ""Essentials"", ""Elevator"", ""Host greets you"", ""Hot water"", ""Kitchen"", ""Dedicated workspace""]",,90,365,90,90,365,365,90.0,365.0,,t,0,0,0,0,2024-09-11,4,2,0,2023-07-26,2024-06-28,3.25,3.0,2.75,3.5,3.25,4.0,2.75,,f,34,28,6,0,0.29
16064,739032040626937056,https://www.airbnb.com/rooms/739032040626937056,20240911015516,2024-09-11,city scrape,Superpiso en las alturas compartido,"If you are looking for a special accommodation for your next stay in Madrid, we invite you to consider our 2 bedroom, 2 bathrooms, 1 kitchen, 1 living room and 1 terrace, located in the heights to the north of the city with the best views. What makes our home special is the unique combination of location, size, and amenities we offer our guests.","The neighborhood of Calle Condado de Treviño 2 is a hidden gem in Madrid. Located in a quiet, residential area to the east of town, this neighborhood offers an authentic and welcoming experience for those looking for a stay in an area outside of the busiest tourist areas.<br /><br />It's a quiet, tree-lined street that's home to classic and modern buildings, offering an interesting mix of architecture. Despite its tranquility, the neighborhood has a variety of amenities and shops nearby such as shops, supermarkets and restaurants, allowing visitors to enjoy the comfort of a residential location with the proximity of the city's amenities.<br /><br />In addition, the neighborhood is very well connected by public transportation, which makes it easy to access other places in the city. The closest metro station is Bamboo or Pinar de Chamartín which is a few minutes walk to the community which will allow you to easily explore the city.<br /><br />In short, the neighborhood is an attractive o",https://a0.muscache.com/pictures/miso/Hosting-739032040626937056/original/7f8f436c-85d0-4143-9776-df2b38ea4a1a.jpeg,400408080,https://www.airbnb.com/users/show/400408080,Manuel,2021-05-07,"Madrid, Spain",,,,67%,f,https://a0.muscache.com/im/pictures/user/1bcf4c5d-db96-4c32-bab3-0b67e5625825.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1bcf4c5d-db96-4c32-bab3-0b67e5625825.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,"Madrid, Comunidad de Madrid, Spain",Costillares,Ciudad Lineal,40.47705359895132,-3.672704212164297,Private room in rental unit,Private room,4,2.0,2 baths,2.0,4.0,"[""Dining table"", ""Pets allowed"", ""Extra pillows and blankets"", ""Toaster"", ""Freezer"", ""Baking sheet"", ""TV"", ""First aid kit"", ""Wine glasses"", ""Outdoor playground"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Free street parking"", ""Shared gym nearby"", ""Hangers"", ""Cooking basics"", ""Blender"", ""Free parking on premises"", ""Microwave"", ""Room-darkening shades"", ""Central heating"", ""Clothing storage: closet"", ""Coffee"", ""Air conditioning"", ""Exercise equipment"", ""Refrigerator"", ""Dishes and silverware"", ""Stainless steel oven"", ""EV charger"", ""Lock on bedroom door"", ""Washer"", ""Laundromat nearby"", ""Essentials"", ""Pool"", ""Hot water"", ""Bed linens"", ""Coffee maker"", ""City skyline view"", ""Smoking allowed"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Bathtub"", ""Elevator"", ""Bidet"", ""Iron"", ""Dedicated workspace""]",$221.00,60,1125,60,60,1125,1125,60.0,1125.0,,t,30,60,90,365,2024-09-11,6,0,0,2023-05-01,2023-07-16,3.5,4.5,2.67,4.33,4.33,4.67,3.5,,f,2,0,2,0,0.36
17224,1034160921230753182,https://www.airbnb.com/rooms/1034160921230753182,20240911015516,2024-09-11,city scrape,EG14b Piso 2 habitaciones+salon,"Full apartment (never shared) in the center of Madrid Chamberí neighborhood, surrounded by metro stops. Quevedo, Church, Canal, Bilbao<br /><br />-2 identical bedrooms with double bed without wardrobes but with drawers and bar<br />-Sale with sofa bed and TV, 3 windows to quiet and bright inner patio<br />-Kitchenette with washing machine, mini fridge and microwave<br />- Bathroom with a shower<br />-Free WiFi with private router inside the floor (not shared)",,https://a0.muscache.com/pictures/miso/Hosting-1034160921230753182/original/ff84d039-085e-4449-b297-f1083c1ecdd2.jpeg,466052734,https://www.airbnb.com/users/show/466052734,Estela,2022-06-25,"Madrid, Spain",Soy Estela y muevo algunos apartamentos en Madrid.,within a few hours,69%,32%,f,https://a0.muscache.com/im/pictures/user/User-466052734/original/d73bb8d5-401f-40e8-a229-862c53a0e468.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-466052734/original/d73bb8d5-401f-40e8-a229-862c53a0e468.jpeg?aki_policy=profile_x_medium,,58.0,66.0,"['email', 'phone']",t,t,,Trafalgar,Chamberí,40.43299,-3.70156,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Heating"", ""Wifi"", ""AC - split type ductless system"", ""TV"", ""Washer"", ""Hot water"", ""Kitchen""]",$103.00,1,365,1,7,365,365,5.3,365.0,,t,24,54,84,261,2024-09-11,3,3,0,2024-02-01,2024-06-26,3.33,3.33,2.67,4.33,4.0,5.0,3.0,,f,58,58,0,0,0.4
18167,1212993220184353664,https://www.airbnb.com/rooms/1212993220184353664,20240911015516,2024-09-11,city scrape,Habitación para 1 o 2 personas.,"Thanks to the central location of this home, you and yours will have everything at your fingertips. Spacious and quiet. I have 1 super quiet dog.",,https://a0.muscache.com/pictures/hosting/Hosting-1212993220184353664/original/861d49b8-73b2-41d9-993f-cd97185b9c6a.jpeg,404194619,https://www.airbnb.com/users/show/404194619,Juan Lorenzo,2021-05-29,"Madrid, Spain",,within a few hours,94%,67%,f,https://a0.muscache.com/im/pictures/user/User-404194619/original/b7e17c69-e1f3-4805-b7a9-098e7a9b9689.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-404194619/original/b7e17c69-e1f3-4805-b7a9-098e7a9b9689.jpeg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,,Ventas,Ciudad Lineal,40.42818156277205,-3.659511854010171,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Wifi"", ""Lock on bedroom door"", ""Host greets you"", ""Kitchen""]",$34.00,1,5,1,1,5,5,1.0,5.0,,t,4,14,14,255,2024-09-11,1,1,1,2024-09-08,2024-09-08,4.0,3.0,2.0,4.0,4.0,3.0,3.0,,f,1,0,1,0,1.0
18352,1199107739024137230,https://www.airbnb.com/rooms/1199107739024137230,20240911015516,2024-09-11,city scrape,Céntrico Apt en el Retiro para 7pax,"Several Worlds offers you this wonderful  apartment is on the ground floor. Includes  2 double beds and 2 single beds with bunk,   1  bathroom, sofa bed, air conditioning, flat TV, dishwasher, towels for all guests, linens, Wifi, basic kitchen utensils, nespresso coffee machine, tender, iron and hair dryer. Our apartment has a total of approximately 80m2 .",,https://a0.muscache.com/pictures/miso/Hosting-1199107739024137230/original/40c476bd-36b7-4dac-a106-348122620520.jpeg,480261102,https://www.airbnb.com/users/show/480261102,VariosMundos,2022-09-20,,,within an hour,99%,100%,f,https://a0.muscache.com/im/pictures/user/4edcebf7-b4e4-4e7a-8406-435494bd19b8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4edcebf7-b4e4-4e7a-8406-435494bd19b8.jpg?aki_policy=profile_x_medium,,111.0,227.0,"['email', 'phone']",t,t,,Jerónimos,Retiro,40.419270141655105,-3.690619424462856,Entire rental unit,Entire home/apt,7,2.0,2 baths,3.0,5.0,"[""Dining table"", ""Hair dryer"", ""Toaster"", ""TV"", ""Hot water kettle"", ""Shower gel"", ""Clothing storage: wardrobe"", ""Cleaning products"", ""Kitchen"", ""Other stove"", ""Coffee maker: Nespresso"", ""Dishwasher"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Microwave"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Stainless steel oven"", ""Washer"", ""Hot water"", ""Bed linens"", ""Self check-in"", ""COCO shampoo"", ""Drying rack for clothing"", ""Paid parking on premises"", ""Keypad"", ""Iron"", ""Dedicated workspace""]",$306.00,1,365,1,1,999,999,1.0,999.0,,t,1,4,4,4,2024-09-11,7,7,3,2024-07-24,2024-09-02,3.14,3.14,2.86,3.57,4.0,5.0,3.43,,t,63,63,0,0,4.2
18603,33658165,https://www.airbnb.com/rooms/33658165,20240911015516,2024-09-11,previous scrape,Chamber in a sunny apartment near plaza de España,,,https://a0.muscache.com/pictures/82ad7e95-04b4-43d3-afc6-ec15777dda40.jpg,56734014,https://www.airbnb.com/users/show/56734014,David,2016-01-30,"Paris, France",,,,,f,https://a0.muscache.com/im/pictures/user/a5ca726a-a388-4825-a499-23465118219a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a5ca726a-a388-4825-a499-23465118219a.jpg?aki_policy=profile_x_medium,,2.0,3.0,['phone'],t,t,,Argüelles,Moncloa - Aravaca,40.42437,-3.71206,Private room in rental unit,Private room,2,,1.5 shared baths,,,"[""Heating"", ""Wifi"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Hot water"", ""Kitchen""]",,1,9,1,1,9,9,1.0,9.0,,t,0,0,0,0,2024-09-11,2,0,0,2019-04-20,2019-04-21,4.0,5.0,2.5,4.0,5.0,5.0,3.5,,t,1,0,1,0,0.03
18946,1164348012008397710,https://www.airbnb.com/rooms/1164348012008397710,20240911015516,2024-09-11,city scrape,Habitación en Madrid centro,"This is a private room that combines comfort and tranquility in the center of the city. Ideal for couples, business travelers, or solo adventurers, our space has been thoughtfully designed to provide you with a relaxing stay",,https://a0.muscache.com/pictures/hosting/Hosting-1164348012008397710/original/e2418dbe-dc77-439c-9e81-c5c0bb229706.jpeg,48754379,https://www.airbnb.com/users/show/48754379,Kinan,2015-11-11,"Madrid, Spain",,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/User-48754379/original/691be794-791a-4df7-8299-35668ce460bb.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-48754379/original/691be794-791a-4df7-8299-35668ce460bb.jpeg?aki_policy=profile_x_medium,Justicia,4.0,7.0,"['email', 'phone']",t,t,,Embajadores,Centro,40.41223,-3.70346,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""TV"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Paid crib - available upon request"", ""Cooking basics"", ""Smoke alarm"", ""Microwave"", ""Air conditioning"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Hot water"", ""Bed linens"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Body soap"", ""Freezer""]",$100.00,3,365,3,3,365,365,3.0,365.0,,t,22,52,82,262,2024-09-11,1,1,0,2024-07-02,2024-07-02,4.0,3.0,2.0,3.0,5.0,5.0,4.0,,t,3,1,2,0,0.42
21009,40867116,https://www.airbnb.com/rooms/40867116,20240911015516,2024-09-11,previous scrape,Best Private Studio in Madrid,"Urban stay in Madrid. The neighborhood is quiet the place is very well connected with metro and bus lines. The neighborhood is quiet and very close to tourist attraction. All facilities are available and near the place, 1 min to Argueles metro station line(3,4,6).25 mins walking to Calloa and 12 min by metro. All supermarket are near the place(Dia, Aldi , Carrefour...) and open 24/7. Perfect for those looking to make the most of their time in the city and stay in heart of all the action.",,https://a0.muscache.com/pictures/22a899ad-0a97-4723-8cf4-c3a96d646b4d.jpg,191581937,https://www.airbnb.com/users/show/191581937,Amad,2018-05-25,"Madrid, Spain",.,,,,f,https://a0.muscache.com/im/pictures/user/6415c3d6-a008-4a90-9e7f-91a9cc92ac0e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6415c3d6-a008-4a90-9e7f-91a9cc92ac0e.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Gaztambide,Chamberí,40.4308,-3.71588,Entire rental unit,Entire home/apt,3,,1 bath,,,"[""Heating"", ""TV"", ""Private entrance"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Microwave"", ""Smoking allowed"", ""Stove"", ""Air conditioning"", ""Indoor fireplace"", ""Refrigerator"", ""Dishes and silverware"", ""Shampoo"", ""Washer"", ""Essentials"", ""Hot water"", ""Coffee maker"", ""Fire extinguisher""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2024-09-11,2,0,0,2020-01-02,2020-03-08,4.0,5.0,2.5,4.0,5.0,5.0,4.0,,f,1,1,0,0,0.03
23038,29622067,https://www.airbnb.com/rooms/29622067,20240911015516,2024-09-11,previous scrape,Luminous flat in the best part of town,"Recently refurbished flat, located in the heart of Almagro Neighbourhood in Chamberi , direct tube access to Wanda Metropolitano Stadium, with walking distance to Santiago Bernabeu, Paseo de la Castellana, Barrio Salamanca, Retiro Park, Malasaña and historic downtown, with the upside of being in a calm and beautiful neighbourhood. With great access to parks, restaurants, clubs and pubs.","Almagro is one of Madrid´s finest neighbourhoods, calm and with elegance with great selection of restaurants and pubs all around and quick walking access to Madrid´s main attractions.",https://a0.muscache.com/pictures/7ddefcfd-690f-4046-be9c-4cda78dda654.jpg,29924560,https://www.airbnb.com/users/show/29924560,Agustin,2015-03-24,"Madrid, Spain",,,,,f,https://a0.muscache.com/im/pictures/user/3d7d23fc-22b1-484b-afed-31ce1a5a4f59.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3d7d23fc-22b1-484b-afed-31ce1a5a4f59.jpg?aki_policy=profile_x_medium,Almagro,2.0,2.0,"['email', 'phone']",t,t,"Madrid, Comunidad de Madrid, Spain",Almagro,Chamberí,40.43504,-3.69433,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Air conditioning"", ""Heating"", ""Pets allowed"", ""Wifi"", ""Smoking allowed"", ""Shampoo"", ""Hangers"", ""TV"", ""Washer"", ""Essentials"", ""Elevator"", ""Iron"", ""Kitchen""]",,4,1125,4,4,1125,1125,4.0,1125.0,,t,0,0,0,0,2024-09-11,2,0,0,2019-04-21,2019-05-12,4.0,4.5,2.5,5.0,5.0,5.0,3.5,,f,2,2,0,0,0.03
23526,901940325789487217,https://www.airbnb.com/rooms/901940325789487217,20240911015516,2024-09-11,city scrape,Apartamento en Madrid de 3 habitaciones con garaje,"Enjoy the simplicity of this quiet, central home.<br />Ideal for your stay in Madrid.",,https://a0.muscache.com/pictures/a2bb2280-c6ca-453b-8a83-d12d0ffecb39.jpg,69566471,https://www.airbnb.com/users/show/69566471,Javier,2016-04-29,,,within a day,100%,10%,f,https://a0.muscache.com/im/pictures/user/d2d158fd-abfe-46b1-8e1b-c3263549b3de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2d158fd-abfe-46b1-8e1b-c3263549b3de.jpg?aki_policy=profile_x_medium,Arapiles,39.0,43.0,"['email', 'phone']",t,t,,Comillas,Carabanchel,40.39541754551403,-3.7149658422983127,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,4.0,"[""Heating"", ""Hair dryer"", ""TV"", ""Backyard"", ""Kitchen"", ""Outdoor shower"", ""Wifi"", ""Hangers"", ""Free parking on premises"", ""Dryer"", ""Refrigerator"", ""Dishes and silverware"", ""Shampoo"", ""Washer"", ""Essentials"", ""Pool"", ""Coffee maker"", ""Central air conditioning"", ""Fire extinguisher"", ""Elevator"", ""Iron"", ""Dedicated workspace""]",$245.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,256,2024-09-11,1,1,0,2023-12-01,2023-12-01,4.0,3.0,2.0,4.0,5.0,3.0,2.0,,f,37,36,1,0,0.1
24579,1062288292798121673,https://www.airbnb.com/rooms/1062288292798121673,20240911015516,2024-09-11,city scrape,SG13 Piso Iglesia WIFI Fibra,"Apartment in the best neighborhood in downtown Madrid , chamberí less than a 5-minute walk from several metro ponds. Church, Bilbao, Quevedo, Alonso martinez<br /><br />- 1 Queen bed in bedroom<br />- 2 single beds in bunk bed<br />- 2 large sofa beds in the living room<br />- 1 kitchen with washing machine, ceramic stove, microwave and refrigerator<br />- 1 bathroom<br />- WIFI Internet Symmetrical high speed fiber with router inside the apartment",,https://a0.muscache.com/pictures/hosting/Hosting-1062288292798121673/original/fb768734-9e43-4e7d-8b39-79283bb15537.jpeg,466052734,https://www.airbnb.com/users/show/466052734,Estela,2022-06-25,"Madrid, Spain",Soy Estela y muevo algunos apartamentos en Madrid.,within a few hours,69%,32%,f,https://a0.muscache.com/im/pictures/user/User-466052734/original/d73bb8d5-401f-40e8-a229-862c53a0e468.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-466052734/original/d73bb8d5-401f-40e8-a229-862c53a0e468.jpeg?aki_policy=profile_x_medium,,58.0,66.0,"['email', 'phone']",t,t,,Almagro,Chamberí,40.43512,-3.69845,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,4.0,"[""Heating"", ""Wifi"", ""TV"", ""Washer"", ""Hot water"", ""Kitchen""]",$78.00,1,365,1,7,365,365,4.9,365.0,,t,12,42,72,252,2024-09-11,1,1,0,2024-03-16,2024-03-16,5.0,5.0,2.0,5.0,5.0,5.0,5.0,,f,58,58,0,0,0.17
24778,45331358,https://www.airbnb.com/rooms/45331358,20240911015516,2024-09-11,city scrape,Bright room with own terrace,BRIGHT ROOM NEAR MADRID RIO WITH ITS OWN TERRACE ! Close to the Metro stop URGEL and many shopping possibilities !,,https://a0.muscache.com/pictures/miso/Hosting-45331358/original/14ea39e4-5c22-4353-bc25-ce7e52cbed14.jpeg,2982091,https://www.airbnb.com/users/show/2982091,Yves,2012-07-18,"Madrid, Spain",traveling all over the world.... french german guy here living in madrid!  travel is my great passion !,a few days or more,10%,0%,f,https://a0.muscache.com/im/pictures/user/be3d5db7-684d-445a-be57-1e6b413849e3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/be3d5db7-684d-445a-be57-1e6b413849e3.jpg?aki_policy=profile_x_medium,,5.0,7.0,"['email', 'phone']",t,t,,Opañel,Carabanchel,40.39155,-3.72196,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Wifi"", ""Hangers"", ""Lock on bedroom door"", ""Washer"", ""Iron"", ""Kitchen""]",$16.00,90,1000,90,90,1000,1000,90.0,1000.0,,t,0,0,0,262,2024-09-11,1,0,0,2021-12-10,2021-12-10,4.0,2.0,2.0,2.0,3.0,3.0,3.0,,f,5,0,5,0,0.03
